time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1733723931.1083302,True,True,None,None,-10.3125,None,None,480,520
1733723931.850043,True,True,None,None,-10.3125,None,None,480,520
1733723932.6131392,True,True,None,None,-6.875,None,None,480,560
1733723933.3587003,True,True,None,None,0.0,None,None,480,640
1733723934.1095197,True,True,None,None,0.0,None,None,440,640
1733723934.6218271,True,True,None,None,0.0,None,None,480,640
1733723935.1282496,True,True,None,None,0.0,None,None,480,640
1733723935.6502247,True,True,None,None,0.0,None,None,480,640
1733723936.404094,True,True,None,None,-3.4375,None,None,520,600
1733723937.1653776,True,True,None,None,0.0,None,None,520,640
1733723937.7004554,True,True,None,None,0.0,None,None,520,640
1733723938.4452288,True,True,None,None,-3.4375,None,None,520,600
1733723939.1946654,True,True,None,None,-3.4375,None,None,520,600
1733723939.7107706,True,True,None,None,-3.4375,None,None,520,600
1733723940.221671,True,True,None,None,0.0,None,None,520,640
1733723940.9864414,True,True,None,None,0.0,None,None,520,640
1733723941.752195,True,True,None,None,0.0,None,None,560,640
1733723942.524318,True,True,None,None,0.0,None,None,520,640
1733723943.3079486,True,True,None,None,0.0,None,None,560,640
