time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1733723469.5153902,False,True,None,None,-24.0625,None,None,440,360
1733723470.2472208,False,True,None,None,-20.625,None,None,440,400
1733723470.7466795,False,True,None,None,-20.625,None,None,400,400
1733723471.2478077,False,True,None,None,-20.625,None,None,440,400
1733723471.7459662,False,True,None,None,-20.625,None,None,440,400
1733723472.254535,False,True,None,None,-20.625,None,None,440,400
1733723472.768541,False,True,None,None,-20.625,None,None,440,400
1733723473.2775111,False,True,None,None,-20.625,None,None,440,400
1733723473.783237,False,True,None,None,-20.625,None,None,440,400
1733723474.293686,False,True,None,None,-20.625,None,None,440,400
1733723474.8078024,False,True,None,None,-17.1875,None,None,440,440
1733723475.310222,False,True,None,None,-17.1875,None,None,440,440
1733723475.84825,False,True,None,None,-17.1875,None,None,440,440
1733723476.334051,False,True,None,None,-13.75,None,None,480,480
1733723476.8466737,False,True,None,None,-13.75,None,None,560,480
1733723477.3533258,False,True,None,None,-13.75,None,None,600,480
1733723477.8606775,False,True,None,None,-13.75,None,None,600,480
1733723478.3692257,False,True,None,None,-13.75,None,None,600,480
1733723478.8813136,False,True,None,None,-13.75,None,None,600,480
1733723479.3921149,False,True,None,None,-13.75,None,None,600,480
1733723479.9093924,False,True,None,None,-13.75,None,None,600,480
1733723480.4099762,False,True,None,None,-13.75,None,None,600,480
1733723480.941122,False,True,None,None,-10.3125,None,None,600,520
1733723481.429824,False,True,None,None,-10.3125,None,None,600,520
1733723481.9345822,False,True,None,None,-6.875,None,None,600,560
1733723482.4462638,False,True,None,None,-6.875,None,None,600,560
1733723482.9521654,False,True,None,None,-6.875,None,None,600,560
1733723483.4694967,False,True,None,None,-6.875,None,None,600,560
1733723483.975565,False,True,None,None,-6.875,None,None,560,560
1733723484.4837258,False,True,None,None,-6.875,None,None,520,560
1733723484.9891155,False,True,None,None,-6.875,None,None,520,560
1733723485.5008612,False,True,None,None,-6.875,None,None,480,560
1733723486.0387475,False,True,None,None,-6.875,None,None,480,560
1733723486.5089467,False,True,None,None,-6.875,None,None,480,560
1733723487.0259607,False,True,None,None,-6.875,None,None,480,560
1733723487.5407119,False,True,None,None,-6.875,None,None,480,560
1733723488.038898,False,True,None,None,-6.875,None,None,480,560
1733723488.5583816,False,True,None,None,-6.875,None,None,480,560
1733723489.059958,False,True,None,None,-6.875,None,None,480,560
1733723489.5646951,False,True,None,None,-6.875,None,None,480,560
1733723490.0781577,False,True,None,None,-6.875,None,None,480,560
1733723490.5882316,False,True,None,None,-6.875,None,None,480,560
1733723491.1300702,False,True,None,None,-6.875,None,None,480,560
1733723491.6059256,False,True,None,None,-6.875,None,None,480,560
1733723492.1217542,False,True,None,None,-6.875,None,None,480,560
1733723492.6253972,False,True,None,None,-6.875,None,None,480,560
1733723493.1337914,False,True,None,None,-6.875,None,None,480,560
1733723493.6417596,False,True,None,None,-3.4375,None,None,480,600
1733723494.1493049,False,True,None,None,-3.4375,None,None,480,600
1733723494.6689014,False,True,None,None,-3.4375,None,None,440,600
1733723495.1767912,False,True,None,None,-6.875,None,None,440,560
1733723495.6851993,False,True,None,None,-3.4375,None,None,440,600
1733723496.2296362,False,True,None,None,-3.4375,None,None,440,600
1733723496.6987946,False,True,None,None,-3.4375,None,None,440,600
1733723497.2060015,False,True,None,None,-6.875,None,None,400,560
1733723497.7171118,False,True,None,None,-6.875,None,None,440,560
1733723498.23349,False,True,None,None,-3.4375,None,None,440,600
1733723498.7394345,False,True,None,None,-3.4375,None,None,440,600
1733723499.2425706,False,True,None,None,-3.4375,None,None,440,600
1733723499.75368,False,True,None,None,-6.875,None,None,400,560
1733723500.2633564,False,True,None,None,-6.875,None,None,400,560
1733723500.7706175,False,True,None,None,-6.875,None,None,400,560
1733723501.320107,False,True,None,None,-3.4375,None,None,440,600
1733723501.7934515,False,True,None,None,-3.4375,None,None,440,600
1733723502.306676,False,True,None,None,0.0,None,None,440,640
1733723502.8143792,False,True,None,None,3.4375,None,None,440,680
1733723503.3242557,False,True,None,None,3.4375,None,None,440,680
1733723503.841303,False,True,None,None,0.0,None,None,440,640
1733723504.343017,False,True,None,None,0.0,None,None,440,640
1733723504.8555577,False,True,None,None,-3.4375,None,None,440,600
1733723505.3656094,False,True,None,None,-3.4375,None,None,440,600
1733723505.8700576,False,True,None,None,0.0,None,None,440,640
1733723506.4106488,False,True,None,None,0.0,None,None,440,640
1733723506.8843505,False,True,None,None,-3.4375,None,None,440,600
1733723507.3937635,False,True,None,None,-3.4375,None,None,440,600
1733723507.9010532,False,True,None,None,-3.4375,None,None,440,600
1733723508.409948,False,True,None,None,0.0,None,None,440,640
1733723508.9203482,False,True,None,None,0.0,None,None,440,640
1733723509.4350893,False,True,None,None,-3.4375,None,None,440,600
1733723509.9406753,False,True,None,None,-3.4375,None,None,480,600
1733723510.4505506,False,True,None,None,-3.4375,None,None,480,600
1733723510.9608972,False,True,None,None,0.0,None,None,480,640
1733723511.512994,False,True,None,None,0.0,None,None,440,640
1733723511.975955,False,True,None,None,0.0,None,None,440,640
1733723512.4846308,False,True,None,None,0.0,None,None,480,640
1733723512.9962614,False,True,None,None,0.0,None,None,480,640
1733723513.5041938,False,True,None,None,0.0,None,None,480,640
1733723514.0133903,False,True,None,None,0.0,None,None,520,640
1733723514.5305605,False,True,None,None,3.4375,None,None,520,680
1733723515.0388112,False,True,None,None,6.875,None,None,520,720
